id,Question,Response
33597,no luck ?,next time date only basketball players .
33598,she s a lyin bitch ! !,get it !
33599,pull it apart !,what ?
33600,never,never what ? !
33601,never what ? !,i ve never weighed lbs . !
33602,i ve never weighed lbs . !,helluva time for vanity !
33603,frank ! no frank ! frank !,jess c mon . . .
33604,gabe !,hold on ! hold on ! reach up !
33605,reach up ! do it !,don t let me fall !
33606,don t let me fall !,do it goddammit !
33607,take the rope .,i won t do it . no way .
33608,i won t do it . no way .,take the rope .
33609,forget it ! i refuse !,fine it shouldn t bother your conscience .
33610,what about you ? !,run dammit ! !
33611,i burned it .,what the fuck you mean you burned it ?
33612,what the fuck you mean you burned it ?,never could save a thing .
33613,never could save a thing .,now you get burned .
33614,where s the helicopter ?,what the hell s going on ?
33615,it s up there on the tower .,how far ?
33616,you said there was a way across .,there is .
33617,yeah . . .,anyone else following ?
33618,what s your names ?,tucker and walker .
33619,tucker and walker .,tucker and walker we ve lost three bags .
33620,on top of the peak .,it looks like a winding route .
33621,then where the fuck is !,there . you blind ?
33622,go after her .,hold on baby he ll get you .
33623,who s going with you ?,you re looking at him .
33624,you re looking at him .,where s the rest of the team ?
33625,oh my god !,climb gabe climb !
33626,right .,then it s a deal .
33627,what s the delay ?,let s move your ass in there ! !
33628,don t use my name !,ask the questions .
33629,ask the questions .,you re both with the mountain rescue team ?
33630,where s the third one travers ?,there what s that place ?
33631,i don t trust him .,kill him when he gets down .
33632,man against nature right travers .,what about it ?
33633,this way .,then go fetch .
33634,rich . . .,good morning walt .
33635,been punished yeah ?,i ve been cured .
33636,good evening sir .,good evening .
33637,of course . food alright ?,great sir . great .
33638,great sir . great .,try the wine !
33639,won t you join me sir ?,no my health doesn t allow it .
33640,no my health doesn t allow it .,and you sir ?
33641,thank you sir .,my wife . . . alex freezes .
33642,your wife sir ? has she gone away ?,no . she s dead !
33643,phoned some friends sir ?,yes . they want to help .
33644,yes . they want to help .,help me sir ?
33645,help me sir ?,help you .
33646,help you .,who are they sir ?
33647,so this is the young man ?,how do you do sir ?
33648,how do you do sir ?,hullo .
33649,hullo .,missus . very pleased to meet you .
33650,hahaha and how are you feeling now ?,much better thank you sir .
33651,what would you like to know sir ?,well shall we get down to it ?
33652,well shall we get down to it ?,yes sir . rubinstein takes out a notebook .
33653,who said that ?,i did sir .
33654,i did sir .,what crime did you commit .
33655,what crime did you commit .,the accidental killing of a person sir .
33656,not feeling too bad now are you ?,no sir i feel really great .
33657,no sir i feel really great .,good .
33658,good evening my boy .,hi hi hi there my little droogies .
33659,keeping fit then ?,fine fine .
33660,fine fine .,well how are you then ?
33661,well i m back .,aye . glad to see you back lad .
33662,aye .,well still the same old place then eh ?
33663,well still the same old place then eh ?,oh aye aye .
33664,no brother . what d you want ?,what do i want ?
33665,i m gonna be sick .,you re gonna be sick are you ?
33666,you re gonna be sick are you ?,i wanna be sick .
33667,i wanna be sick .,you wanna be sick ?
33668,you wanna be sick ?,let me get up .
33669,alexander de large sir .,crime ?
33670,crime ?,murder sir .
33671,religion ?,c of e sir .
33672,c of e sir .,do you mean church of england ?
33673,do you mean church of england ?,yes sir church of england sir .
33674,yes sir church of england sir .,brown hair is it ?
33675,brown hair is it ?,fair hair sir .
33676,fair hair sir .,blue eyes ?
33677,blue eyes ?,blue eyes yes sir .
33678,blue eyes yes sir .,do you wear eye glasses or contact lenses ?
33679,do you wear eye glasses or contact lenses ?,no sir .
33680,have you ever had any mental illness ?,no sir .
33681,are you an epileptic ?,no sir .
33682,no sir .,right . the mothballs mister .
33683,no sir .,crabs ?
33684,crabs ?,no sir .
33685,no sir .,lice ?
33686,lice ?,no sir .
33687,no sir .,through there for a bath .
33688,through there for a bath .,yes sir .
33689,you re absolutely right sir .,shut your bleedin hole ! ! !
33690,how re you feeling this morning ?,fine . . . fine .
33691,oh no nothing of the sort .,vitamins will it be then ?
33692,you mean like going to the pictures ?,something like that .
33693,are you referring to the background score ?,yes ! ! !
33694,yes ! ! !,you ve heard beethoven before ?
33695,you ve heard beethoven before ?,yes ! ! !
33696,how are you feeling today ?,fine . fine .
33697,fine . fine .,good . i m doctor taylor .
33698,good . i m doctor taylor .,i haven t seen you before .
33699,i haven t seen you before .,i m your psychiatrist .
33700,i m your psychiatrist .,psychiatrist ? huh do i need one ?
33701,psychiatrist ? huh do i need one ?,just part of hospital routine .
33702,yes .,i was quite enjoying that .
33703,i was quite enjoying that .,good . i m glad
33704,good . i m glad,how many did i get right ?
33705,you re keen on music ?,yes ! ! !
33706,fine my boy fine fine .,father i have tried have i not ?
33707,father i have tried have i not ?,you have my son .
33708,you have my son .,i ve done my best have i not ?
33709,i ve done my best have i not ?,indeed .
33710,one jacket blue pinstripe .,prison custody ?
33711,very good chief . they inspect cells .,leave to carry on sir please ?
33712,leave to carry on sir please ?,carry on chief .
33713,carry on chief .,sir .
33714,hullo son how are you ?,are you feeling better ?
33715,how many to a cell ?,four in this block sir .
33716,shall we go to my office ?,thank you .
33717,i ll take sixth . it s faster .,what ?
33718,what ?,sixth is faster .
33719,the ride is free .,you got a deal .
33720,go ahead say it .,no . i got lucky with the lights .
33721,like what ?,travel . . .and things .
33722,you like being a lawyer ?,you psychic ?
33723,big case ?,yeah .
33724,most of the time .,but not now ?
33725,you need a vacation .,just had one .
33726,how often you go ?,dozen times a day .
33727,thanks for everything max . wow . . .,sure thing .
33728,annie . . .it s max .,max . . .
33729,max . . .,max the cab driver !
33730,. . .he s two floors below you .,in my office ?
33731,in my office ?,where are you what floor ?
33732,where are you what floor ?,seventh files section . what should i do ?
33733,this your current address ?,yes .
33734,you dizzy ? you want to sit down ?,i m . . .fine . fine .
33735,you re kidding me .,right through those doors . the man himself .
33736,right through those doors . the man himself .,jesus . . .
33737,no .,oh my yes .
33738,oh my yes .,get outta here ! you and louis ?
33739,you know dmitri ?,fraid so .
33740,i m sorry .,sorry ?
33741,i picked up a tail .,federal ?
33742,vincent . do not cross me .,wouldn t dream of it .
33743,so ? it was a random thing .,i never bought that .
33744,i never bought that .,oh ?
33745,captain walt muldoon nypd .,detective sergeant phil heller .
33746,what if they re wrong ?,not our call phil .
33747,not our call phil .,. . .if they re wrong ? !
33748,. . .if they re wrong ? !,this isn t our goddamn game !
33749,quite an achievement . . .,what s your name ?
33750,what s your name ?,vincent . . .
33751,i m in town for a short time .,try ?
33752,try ?,of course !
33753,hi ma .,i ve been calling and calling .
33754,i ve been calling and calling .,i got caught up at work .
33755,i brought you flowers .,what am i gonna do with flowers ?
33756,what am i gonna do with flowers ?,you re gonna cheer up .
33757,what s he sayin ?,i m standing right here .
33758,i m standing right here .,yesss you are . he s artistic .
33759,he s not paying you one cent !,who the hell is this ?
33760,max ? maaax . pick up dipshit .,jesus what is with this guy ?
33761,jesus what is with this guy ?,maaaaaax !
33762,you hassling my driver again ?,who is this ?
33763,he ll keep calling .,max ! dammit ! u answer ! u
33764,hello ?,oh . sorry .
33765,how long you think this ll take ?,twenty four minutes .
33766,you on some kind of work plan ?,you mean like benefits ?
33767,you mean like benefits ?,yeah . retirement ? paid sick leave ?
33768,yeah . retirement ? paid sick leave ?,it s not that kind of job .
33769,it s not that kind of job .,you should start a union .
33770,you should start a union .,me specifically ?
33771,me specifically ?,why not ?
33772,max .,max ? i m vincent .
33773,you cool max ? say i m cool .,you re cool .
33774,you re cool .,no . you say you re cool .
33775,no . you say you re cool .,i m cool .
33776,good . help me out here .,with what ?
33777,got it ?,yeah .
33778,what ?,his hand moved ! his goddamn hand twitched !
33779,max .,it s not me .
33780,you listening to me ?,yes ! i m trying i swear !
33781,what about that ?,i tried it .
33782,i tried it .,how about the thingy next to it ?
33783,try some deep breathing .,what ?
33784,you better ?,i think so .
33785,what are you doing ?,it s a mess .
33786,it s a mess .,so ?
33787,th and central . you know it ?,south central .
33788,south central .,how long you figure ?
33789,are you breathing ?,yes .
33790,music .,play music .
33791,i didn t throw him he fell .,what d he do to you ?
33792,get rid of em .,how ?
33793,i can t believe this .,believe it .
33794,who s that ?,lenny my dispatcher .
33795,so what ?,i need the job .
33796,i need the job .,no you don t .
33797,another collateral .,what ?
33798,what ?,collateral damage .
33799,collateral damage .,i don t understand . . .
33800,vincent ?,yes max ?
33801,yes max ?,am i collateral ?
33802,i m . . .what ? sorry ?,jazz . music .
33803,jazz . music .,i listen to classical .
33804,let him go vincent .,you mind ? i m working here .
33805,let s go .,no .
33806,no .,what you mean no ?
33807,what you mean no ?,i m done . find another cab .
33808,max ? what are you doing ?,leave me alone .
33809,show up for u what ? u,she s in the hospital .
33810,she s in the hospital .,you go every night ?
33811,you go every night ?,what difference does it make ?
33812,mom vincent s not interested .,oh i m captivated .
